Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Witness Protection,FDN,Foundations,168,normal,common,4,101621,f231e981-0069-43ce-ac1c-c85ced613e93,0.18,false,false,mint,en,USD
Abrade,FDN,Foundations,327,normal,uncommon,1,100963,aa74ab7c-b9de-47ab-83ea-2b98738838c7,0.66,false,false,mint,en,USD
Adamant Will,FDN,Foundations,488,normal,common,1,101483,1fd2c9ab-b3dd-4f68-b91f-0f075a045757,0.36,false,false,mint,en,USD
Adaptive Automaton,FDN,Foundations,723,foil,rare,1,101259,e35e614c-51a9-4d5c-b7fa-1a0a87108785,0.99,false,false,mint,en,USD
Aegis Turtle,FDN,Foundations,150,normal,common,1,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.15,false,false,mint,en,USD
Aetherize,FDN,Foundations,151,normal,uncommon,1,100225,1e5530fc-0291-4a17-b048-c5d24e6f51d8,0.36,false,false,mint,en,USD
Affectionate Indrik,FDN,Foundations,211,normal,uncommon,1,100310,2da8347d-06a4-46e0-a55e-cc2da4660263,0.08,false,false,mint,en,USD
Aggressive Mammoth,FDN,Foundations,551,normal,rare,1,101550,7724b978-999b-4654-96f3-58e28aa7cb34,0.6,false,false,mint,en,USD
Ajani's Pridemate,FDN,Foundations,135,normal,uncommon,2,100255,222c1a68-e34c-4103-b1be-17d4ceaef6ce,0.16,false,false,mint,en,USD
Ajani's Pridemate,FDN,Foundations,293,normal,uncommon,1,101180,d4cfb9bc-4273-4e5f-a7ac-2006a8345a4e,0.31,false,false,mint,en,USD
Ambush Wolf,FDN,Foundations,98,normal,common,1,101492,2903832c-318e-42ab-bf58-c682ec2f7afd,0.1,false,false,mint,en,USD
An Offer You Can't Refuse,FDN,Foundations,160,normal,uncommon,1,100948,a829747f-cf9b-4d81-ba66-9f0630ed4565,1.84,false,false,mint,en,USD
Ancestor Dragon,FDN,Foundations,489,normal,rare,1,101610,df43d9d4-3fef-4a56-8b38-d52824117201,1.17,false,false,mint,en,USD
Angel of Finality,FDN,Foundations,136,normal,uncommon,2,101057,baaabd52-3aa9-4e2f-9369-d4db8b405ba8,0.15,false,false,mint,en,USD
Angel of Vitality,FDN,Foundations,706,foil,uncommon,1,101094,c279947e-168f-4af5-902b-aba724f52b8a,0.45,false,false,mint,en,USD
Angelic Destiny,FDN,Foundations,565,normal,mythic,1,100119,066d73fa-369b-44a3-b1a9-d22176ac3566,1.72,false,false,mint,en,USD
Angelic Edict,FDN,Foundations,490,normal,common,1,97190,c0bf349e-2974-4aea-a5c0-fdaea77325cc,0.29,false,false,mint,en,USD
Anthem of Champions,FDN,Foundations,116,normal,rare,1,95580,42fe3a40-9cbe-4235-86f9-32576aaebba8,0.26,false,false,mint,en,USD
Apothecary Stomper,FDN,Foundations,99,normal,common,1,101537,680b7b0c-0e1b-46ce-9917-9fc6e05aa148,0.08,false,false,mint,en,USD
Arbiter of Woe,FDN,Foundations,55,normal,uncommon,1,101008,b2496c4a-df03-4583-bd76-f98ed5cb61ee,0.18,false,false,mint,en,USD
Arcane Epiphany,FDN,Foundations,29,normal,uncommon,1,100116,06431793-5dfe-4cbf-990b-4bcc960d1f31,0.13,false,false,mint,en,USD
Arcanis the Omnipotent,FDN,Foundations,585,normal,rare,1,100941,a6fee90a-7cb3-4fad-91a7-1b1edbde0133,0.25,false,false,mint,en,USD
Archmage of Runes,FDN,Foundations,30,normal,rare,1,100339,334b5018-2da9-49f1-9d09-83d312ecfb02,1.74,false,false,mint,en,USD
Archmage of Runes,FDN,Foundations,30,foil,rare,1,100339,334b5018-2da9-49f1-9d09-83d312ecfb02,2.67,false,false,mint,en,USD
Archway Angel,FDN,Foundations,566,normal,uncommon,1,100305,2c3ff489-bdd7-4aeb-8130-3c234d0dd3dd,0.15,false,false,mint,en,USD
Armasaur Guide,FDN,Foundations,3,normal,common,1,101591,c80fc380-0499-4499-8a60-c43844c02c9b,0.08,false,false,mint,en,USD
"Aurelia, the Warleader",FDN,Foundations,651,normal,mythic,1,101070,bc6ffc1c-575b-4116-83c9-d13b29886c35,12.73,false,false,mint,en,USD
Axgard Cavalry,FDN,Foundations,189,normal,common,2,101631,fe3cc41a-adae-4c9b-b4d3-03f3ca862fed,0.05,false,false,mint,en,USD
"Ayli, Eternal Pilgrim",FDN,Foundations,652,normal,rare,1,100121,06969031-2c13-4b5a-bb4e-86eed025e614,0.46,false,false,mint,en,USD
Azorius Guildgate,FDN,Foundations,683,normal,common,1,101375,f98a7264-0a83-42c8-a94d-05ad4c234242,0.15,false,false,mint,en,USD
Bake into a Pie,FDN,Foundations,169,normal,common,3,101494,2ab0e660-86a3-4b92-82fa-77dcb5db947d,0.15,false,false,mint,en,USD
Ballyrush Banneret,FDN,Foundations,567,normal,common,1,101003,b18a7daa-a112-4728-9123-594366694915,0.22,false,false,mint,en,USD
Banishing Light,FDN,Foundations,138,normal,common,2,101613,e38dc3b3-1629-491b-8afd-0e7a9a857713,0.15,false,false,mint,en,USD
Basilisk Collar,FDN,Foundations,669,normal,rare,1,100712,7b36fba7-71f7-4b7f-bde5-b3a9752ad21c,3.5,false,false,mint,en,USD
Battle-Rattle Shaman,FDN,Foundations,533,normal,uncommon,1,101632,fee05f7e-d4da-4a72-8140-d505eecbdd32,0.17,false,false,mint,en,USD
Battlesong Berserker,FDN,Foundations,78,normal,uncommon,1,100917,a1f8b199-5d62-485f-b1c3-b30aa550595b,0.05,false,false,mint,en,USD
Bear Cub,FDN,Foundations,552,normal,common,1,101604,d8662ebb-068b-41d2-b504-4b5854e4d4aa,0.69,false,false,mint,en,USD
Beast-Kin Ranger,FDN,Foundations,100,normal,common,2,100082,0102e0be-5783-4825-9489-713b1b1df0b2,0.13,false,false,mint,en,USD
Bigfin Bouncer,FDN,Foundations,31,normal,common,1,100882,9b1d5b76-b07e-45c6-800d-4cfce085164f,0.13,false,false,mint,en,USD
Billowing Shriekmass,FDN,Foundations,56,normal,uncommon,1,100711,7b3587a9-0667-4d53-807b-c437bcb1d7b3,0.15,false,false,mint,en,USD
Biogenic Upgrade,FDN,Foundations,553,normal,uncommon,1,101618,ef20af5e-1ffe-426a-805a-ca4a6a122260,0.35,false,false,mint,en,USD
Bishop's Soldier,FDN,Foundations,491,normal,common,1,101478,16dfd7b3-6d01-4e98-aec3-b27e8e2444e8,0.63,false,false,mint,en,USD
Bite Down,FDN,Foundations,212,normal,common,4,101625,f8d70b3b-f6f9-4b3c-ad70-0ce369e812b5,0.15,false,false,mint,en,USD
Blanchwood Armor,FDN,Foundations,213,normal,uncommon,1,100237,1fd7ec1a-dafa-42ca-bc25-f6848fb03f60,0.15,false,false,mint,en,USD
Bloodfell Caves,FDN,Foundations,259,normal,common,2,100806,8b90dc92-cb66-41d9-89f9-2b6e3cfc8082,0.15,false,false,mint,en,USD
Bloodthirsty Conqueror,FDN,Foundations,460,normal,mythic,1,101136,cbd05eaa-7c0d-45f0-b085-87dc1d610c34,40.17,false,false,mint,en,USD
Bloodtithe Collector,FDN,Foundations,516,normal,uncommon,1,97193,ff16d951-dd85-4d22-9505-ce6e2eaf47cf,0.25,false,false,mint,en,USD
Blossoming Sands,FDN,Foundations,260,normal,common,3,100364,37676ed8-588c-4bca-8065-874b74d84807,0.15,false,false,mint,en,USD
Bolt Bend,FDN,Foundations,619,normal,uncommon,1,101152,cf01af2c-68e5-4bb5-81de-f3a1b860fb2e,3.92,false,false,mint,en,USD
Boros Charm,FDN,Foundations,721,foil,uncommon,1,101242,e0d8c9f6-cbbd-4694-b100-01cfb81036cc,6.0,false,false,mint,en,USD
Boros Guildgate,FDN,Foundations,684,normal,common,1,100402,3e3c74ea-40e9-4ad9-a491-c208403b68ad,0.15,false,false,mint,en,USD
Brineborn Cutthroat,FDN,Foundations,152,normal,uncommon,3,100986,acf7aafb-931f-49e5-8691-eab8cb34b05e,0.15,false,false,mint,en,USD
Broken Wings,FDN,Foundations,214,normal,common,4,100584,61f9cbeb-cc9c-4562-be65-8a77053faefe,0.1,false,false,mint,en,USD
Bulk Up,FDN,Foundations,80,normal,uncommon,1,100857,977dcc50-da10-4281-b522-9240c1204f5d,0.32,false,false,mint,en,USD
Burglar Rat,FDN,Foundations,170,normal,common,1,101608,de1c8758-ce3d-49cf-8173-c0eb46f5e7bc,0.15,false,false,mint,en,USD
Burnished Hart,FDN,Foundations,250,normal,uncommon,1,100609,65ebbff0-fbe6-4310-a33f-e00bb2534979,0.15,false,false,mint,en,USD
Burrog Befuddler,FDN,Foundations,504,normal,common,1,101589,c5f11ea2-cd4c-417a-804c-3df80d9ddd5f,0.24,false,false,mint,en,USD
Burst Lightning,FDN,Foundations,192,normal,common,3,100994,aec5d380-d354-4750-931a-6c91853e2edc,0.22,false,false,mint,en,USD
Bushwhack,FDN,Foundations,215,normal,common,2,101469,03ebdb36-55e0-49dd-a514-785fbeb4ae19,0.23,false,false,mint,en,USD
Cackling Prowler,FDN,Foundations,101,normal,common,2,101481,1bd8e971-c075-4203-8d83-c28f22d4f9b9,0.05,false,false,mint,en,USD
Campus Guide,FDN,Foundations,251,normal,common,1,101504,43c59814-3167-4b05-bb85-6c736f3956a4,0.08,false,false,mint,en,USD
Cancel,FDN,Foundations,505,normal,common,1,100443,475bff39-220a-4490-9c2e-d311e306a6db,0.33,false,false,mint,en,USD
Carnelian Orb of Dragonkind,FDN,Foundations,534,normal,common,1,101620,f0c07546-c5a1-4dfc-b5e1-d697578a8c11,2.07,false,false,mint,en,USD
Cat Collector,FDN,Foundations,4,normal,uncommon,2,100507,526fe356-bff1-4211-9e88-bf913ac76b1d,0.15,false,false,mint,en,USD
Cathar Commando,FDN,Foundations,139,normal,common,1,100204,19cf024d-edb6-4a79-8676-73f8db0cdf1f,0.15,false,false,mint,en,USD
Cemetery Recruitment,FDN,Foundations,517,normal,common,1,100346,34a80873-86d7-44a9-894b-65e8f77dd2ea,0.54,false,false,mint,en,USD
Charming Prince,FDN,Foundations,568,normal,rare,1,100964,aa7b47e1-7e32-4f2f-aecf-bac7ca197081,1.72,false,false,mint,en,USD
Chart a Course,FDN,Foundations,586,normal,uncommon,1,100683,7599d459-fe71-48f4-8c65-0f519bb63a68,0.19,false,false,mint,en,USD
Circuitous Route,FDN,Foundations,635,normal,uncommon,2,100946,a806dec2-d4f9-4f8d-a1dd-170777941131,0.42,false,false,mint,en,USD
Clinquant Skymage,FDN,Foundations,33,normal,uncommon,2,100357,36012810-0e83-4640-8ba7-7262229f1b84,0.15,false,false,mint,en,USD
Cloudblazer,FDN,Foundations,653,normal,uncommon,1,100959,a9c966ab-0d92-4fa7-8a91-1f77089d8fc7,0.18,false,false,mint,en,USD
Confiscate,FDN,Foundations,709,foil,uncommon,1,100956,a98a1553-e5f3-4c9c-833d-579e82e1708f,0.15,false,false,mint,en,USD
Consuming Aberration,FDN,Foundations,238,normal,rare,1,101066,bc2b28fd-66b0-457c-80ea-7caed2cc7926,0.17,false,false,mint,en,USD
Corsair Captain,FDN,Foundations,506,normal,rare,1,101181,d5017dbc-07fd-45ea-9629-7c584144e8be,0.3,false,false,mint,en,USD
Crackling Cyclops,FDN,Foundations,83,normal,common,5,101541,6e5b899a-52f7-471b-ad50-4fa6566758fd,0.13,false,false,mint,en,USD
Crash Through,FDN,Foundations,620,normal,common,1,100903,9eb16918-6363-4849-8d74-e26822a0ddf7,0.22,false,false,mint,en,USD
Crawling Barrens,FDN,Foundations,685,normal,rare,1,100979,ac2aff0e-1319-4d3b-903c-fa1ce3db7602,0.2,false,false,mint,en,USD
Crossway Troublemakers,FDN,Foundations,518,normal,rare,1,97167,03a5e19c-4cb8-4bd7-923c-4db747dc6ca3,0.38,false,false,mint,en,USD
Crow of Dark Tidings,FDN,Foundations,519,normal,common,1,100307,2cd74e93-064a-42d7-8e6e-c413912a08cd,0.28,false,false,mint,en,USD
Crusader of Odric,FDN,Foundations,569,normal,common,1,100079,009029c2-26b9-498f-8765-e91c2e1f3aee,0.16,false,false,mint,en,USD
Crypt Feaster,FDN,Foundations,59,normal,common,2,100382,3b072811-998a-4a71-b59c-6afecc0dc4b6,0.15,false,false,mint,en,USD
Cryptic Caves,FDN,Foundations,686,normal,uncommon,1,100943,a7976098-b560-458a-ad3c-18f7873add21,0.19,false,false,mint,en,USD
Cultivator's Caravan,FDN,Foundations,670,normal,rare,1,100265,249aa94c-85ab-4606-aa2c-c902bd83ac21,0.2,false,false,mint,en,USD
Curator of Destinies,FDN,Foundations,34,normal,rare,1,100908,9ff79da7-c3f7-4541-87a0-503544c699b5,0.15,false,false,mint,en,USD
Darksteel Colossus,FDN,Foundations,671,normal,mythic,1,100660,70197723-c61b-4600-b61d-41380c8f3067,1.99,false,false,mint,en,USD
Dauntless Veteran,FDN,Foundations,8,normal,uncommon,1,100704,7a136f26-ac66-407f-b389-357222d2c4a2,0.08,false,false,mint,en,USD
Dawnwing Marshal,FDN,Foundations,570,normal,uncommon,1,100741,807db84f-addb-4ef0-b9ba-32b3e1bced3d,0.18,false,false,mint,en,USD
Day of Judgment,FDN,Foundations,140,normal,rare,2,95585,96e84bdc-8a9a-4c58-ba8b-9f052fd60069,0.75,false,false,mint,en,USD
Dazzling Angel,FDN,Foundations,9,normal,common,2,101468,027dc444-e544-4693-8653-3dcdda530162,0.15,false,false,mint,en,USD
Deadly Brew,FDN,Foundations,654,normal,uncommon,1,100474,4cd4d5a4-4342-49fb-b1e4-7d08e6cf5376,0.19,false,false,mint,en,USD
Deadly Plot,FDN,Foundations,520,normal,uncommon,1,101012,b32fddc3-a38f-4eea-ae01-4158e3cbca6c,0.47,false,false,mint,en,USD
Deadly Riposte,FDN,Foundations,492,normal,common,1,101535,65f5804a-075b-41d8-9639-785cad5c0974,0.22,false,false,mint,en,USD
Death Baron,FDN,Foundations,521,normal,rare,1,100345,34a27142-cf45-4164-9e10-373e5c8bf7c6,4.66,false,false,mint,en,USD
Deathmark,FDN,Foundations,601,normal,uncommon,1,100423,42592d75-593e-4719-b13b-bca374017e79,0.2,false,false,mint,en,USD
Demolition Field,FDN,Foundations,687,normal,uncommon,1,100150,0c7e51b6-4898-4632-b39c-3ce438caa882,0.7,false,false,mint,en,USD
Demonic Pact,FDN,Foundations,602,normal,mythic,1,100549,5b0b7242-df91-48cf-bf4e-b68306c9965f,1.68,false,false,mint,en,USD
Devout Decree,FDN,Foundations,571,normal,uncommon,1,101162,d174cb01-b1cf-444c-a893-cc61ddf88b8c,0.19,false,false,mint,en,USD
Diamond Mare,FDN,Foundations,672,normal,uncommon,1,100669,721463ad-9531-487f-bd82-5e638c4fc35f,0.21,false,false,mint,en,USD
Dictate of Kruphix,FDN,Foundations,587,normal,rare,1,101028,b5e4087b-e692-4eb2-bb59-ff2a001d6dd4,1.05,false,false,mint,en,USD
Dimir Guildgate,FDN,Foundations,688,normal,common,1,101376,f9b8a159-5e58-4432-8ecd-62f39afa96da,0.15,false,false,mint,en,USD
Diregraf Ghoul,FDN,Foundations,171,normal,uncommon,2,100439,4682012c-d7e0-4257-b538-3de497507464,0.1,false,false,mint,en,USD
Disenchant,FDN,Foundations,572,normal,common,1,100709,7ac43e16-8b14-46f2-877a-600ea918766b,0.19,false,false,mint,en,USD
Dismal Backwater,FDN,Foundations,261,normal,common,1,101220,dbb0df36-8467-4a41-8e1c-6c3584d4fd10,0.15,false,false,mint,en,USD
Dive Down,FDN,Foundations,588,normal,common,1,100608,65d5cff9-a3ec-432d-9ce5-68949e524279,0.19,false,false,mint,en,USD
Divine Resilience,FDN,Foundations,10,normal,uncommon,2,101347,f3a08245-a535-4d24-b8c0-78759bb9c4b0,0.18,false,false,mint,en,USD
Doubling Season,FDN,Foundations,216,foil,mythic,1,101340,f2c4f80e-84a0-463b-82c3-5c6503809351,35.39,false,false,mint,en,USD
Dragon Fodder,FDN,Foundations,535,normal,common,1,101626,f9abe517-f601-4784-8d62-2350bd755146,0.15,false,false,mint,en,USD
Dragon Mage,FDN,Foundations,621,normal,uncommon,1,100526,5525cfde-a92b-4fb5-8f15-a05efebecd3d,0.24,false,false,mint,en,USD
Dragon Trainer,FDN,Foundations,84,normal,uncommon,1,100830,91bd75a1-cb54-4e38-9ce1-e8f32a73c6eb,0.15,false,false,mint,en,USD
Dragonlord's Servant,FDN,Foundations,536,normal,uncommon,1,101499,37e35f88-a580-4b55-9c11-0b58e2f752d1,0.49,false,false,mint,en,USD
Dragonmaster Outcast,FDN,Foundations,622,normal,mythic,1,101039,b720f3a8-f38f-4460-86a3-dad541e7add7,1.01,false,false,mint,en,USD
Drake Hatcher,FDN,Foundations,35,normal,rare,1,101071,bcaf4196-6bf3-47fa-b5c7-0e77f45cf820,0.6,false,false,mint,en,USD
"Drakuseth, Maw of Flames",FDN,Foundations,193,normal,rare,1,100092,029b1edb-e1de-4f1c-81df-8d17f4920318,0.68,false,false,mint,en,USD
Dread Summons,FDN,Foundations,604,normal,rare,1,101238,dfb5dd33-6e5b-4d78-92fa-678c9f01c606,0.24,false,false,mint,en,USD
Dreadwing Scavenger,FDN,Foundations,118,normal,uncommon,2,101252,e24d838b-ab48-410a-9a50-dbfea5da089b,0.15,false,false,mint,en,USD
Driver of the Dead,FDN,Foundations,605,normal,common,1,100431,4443696a-0b9a-4081-91aa-800b5c4065d2,0.15,false,false,mint,en,USD
Drogskol Reaver,FDN,Foundations,655,normal,rare,1,101086,c0a4450c-8dfd-4d05-adb9-e84ec6066c7d,1.05,false,false,mint,en,USD
Dropkick Bomber,FDN,Foundations,537,normal,rare,1,101583,b44f758e-716a-408e-96d4-b58403591c2a,4.85,false,false,mint,en,USD
Druid of the Cowl,FDN,Foundations,554,normal,common,1,101606,db2d0ee9-865c-4fc9-8cb6-540c597e1bf4,0.29,false,false,mint,en,USD
Dryad Militant,FDN,Foundations,656,normal,uncommon,1,100819,8fb36712-26e9-4ec7-8946-626bb7094c15,0.15,false,false,mint,en,USD
Duress,FDN,Foundations,606,normal,common,1,100348,34c3a894-ee75-4db9-a69f-711bb3cc150a,0.25,false,false,mint,en,USD
Dwynen's Elite,FDN,Foundations,218,normal,common,3,100800,89d94c28-ea2e-4a3d-935f-6b2d9f2efc7a,0.15,false,false,mint,en,USD
"Dwynen, Gilt-Leaf Daen",FDN,Foundations,217,normal,uncommon,1,100086,01c00d7b-7fac-4f8c-a1ea-de2cf4d06627,0.2,false,false,mint,en,USD
Eaten Alive,FDN,Foundations,172,normal,common,1,100216,1c4f7b20-b2a8-498c-8c36-dc296863b0b9,0.15,false,false,mint,en,USD
Eaten by Piranhas,FDN,Foundations,507,normal,uncommon,1,100444,475e28bb-1333-45e1-b6fd-83121c2f1ab9,0.58,false,false,mint,en,USD
Elementalist Adept,FDN,Foundations,36,normal,common,1,101605,d9768cc6-8f53-4922-ae32-376a2f32d719,0.1,false,false,mint,en,USD
Elfsworn Giant,FDN,Foundations,103,normal,common,2,100497,5128a5be-ffa6-4998-8488-872d80b24cb2,0.15,false,false,mint,en,USD
Elspeth's Smite,FDN,Foundations,493,normal,uncommon,1,97186,b405a442-cf6f-4c0b-9950-f208b30c052e,1.17,false,false,mint,en,USD
Elvish Archdruid,FDN,Foundations,219,normal,rare,1,100341,341da856-7414-403b-b2e3-4bebd58a5aa4,0.31,false,false,mint,en,USD
Elvish Regrower,FDN,Foundations,104,normal,uncommon,2,100278,2694e3cd-26ed-4a10-ae55-fb84d7800253,0.15,false,false,mint,en,USD
Empyrean Eagle,FDN,Foundations,239,normal,uncommon,1,100533,577e99a7-4a55-4314-8f08-2ae0c33b85c7,0.2,false,false,mint,en,USD
Enigma Drake,FDN,Foundations,657,normal,uncommon,1,100173,13ce1338-5a46-4d96-a991-d5fa8d4330ae,0.19,false,false,mint,en,USD
Erudite Wizard,FDN,Foundations,37,normal,common,1,100835,9273c417-0fcd-4273-b24e-afff76336d0c,0.1,false,false,mint,en,USD
Essence Scatter,FDN,Foundations,153,normal,uncommon,2,101226,dd05c850-f91e-4ffb-b4cc-8418d49dad90,0.15,false,false,mint,en,USD
Evolving Wilds,FDN,Foundations,262,normal,common,3,100376,3a0b9356-5b91-4542-8802-f0f7275238e1,0.15,false,false,mint,en,USD
Exclusion Mage,FDN,Foundations,508,normal,uncommon,1,101531,62c8024e-490a-484a-bcee-da7728a64a1f,0.24,false,false,mint,en,USD
Exemplar of Light,FDN,Foundations,297,foil,rare,2,100128,089b28fe-f10f-4e3e-8c19-ed012349faf4,9.58,false,false,mint,en,USD
Expedition Map,FDN,Foundations,724,foil,common,1,100130,08e66835-c228-48fa-bcaa-eb96edbd4f5a,1.82,false,false,mint,en,USD
Exsanguinate,FDN,Foundations,173,normal,uncommon,1,101330,f11d7311-4066-4a5d-ba28-9857fa707a0b,0.3,false,false,mint,en,USD
Faebloom Trick,FDN,Foundations,38,normal,uncommon,1,100148,0c3bee8f-f5be-4404-a696-c902637799c3,0.15,false,false,mint,en,USD
Fanatical Firebrand,FDN,Foundations,195,normal,common,1,101598,d1296316-7781-4e98-95e6-7020648be6a5,0.13,false,false,mint,en,USD
Feed the Swarm,FDN,Foundations,712,foil,common,1,101273,e66d4541-160c-4137-98e7-0eaa692c7d7a,0.35,false,false,mint,en,USD
Feldon's Cane,FDN,Foundations,673,normal,uncommon,1,100091,026f55c3-8e65-4520-b26d-6208344f73b2,0.54,false,false,mint,en,USD
